i,j,vx,vy,tipo_nodo
25,0,0.000000,0.000000,Pared
25,1,0.477151,0.000000,Fluido Libre
25,2,0.794665,0.000000,Fluido Libre
25,3,0.953179,0.000000,Fluido Libre
25,4,0.953178,0.000000,Fluido Libre
25,5,0.794663,0.000000,Fluido Libre
25,6,0.477149,0.000000,Fluido Libre
25,7,0.000000,0.000000,Pared
26,0,0.000000,0.000000,Pared
26,1,0.477636,0.000000,Fluido Libre
26,2,0.795577,0.000000,Fluido Libre
26,3,0.954348,0.000000,Fluido Libre
26,4,0.954348,0.000000,Fluido Libre
26,5,0.795577,0.000000,Fluido Libre
26,6,0.477637,0.000000,Fluido Libre
26,7,0.000000,0.000000,Pared
27,0,0.000000,0.000000,Pared
27,1,0.478025,0.000000,Fluido Libre
27,2,0.796315,0.000000,Fluido Libre
27,3,0.955299,0.000000,Fluido Libre
27,4,0.955301,0.000000,Fluido Libre
27,5,0.796321,0.000000,Fluido Libre
27,6,0.478031,0.000000,Fluido Libre
27,7,0.000000,0.000000,Pared
28,0,0.000000,0.000000,Pared
28,1,0.478308,0.000000,Fluido Libre
28,2,0.796877,0.000000,Fluido Libre
28,3,0.956040,0.000000,Fluido Libre
28,4,0.956049,0.000000,Fluido Libre
28,5,0.796901,0.000000,Fluido Libre
28,6,0.478334,0.000000,Fluido Libre
28,7,0.000000,0.000000,Pared
29,0,0.000000,0.000000,Pared
29,1,0.478428,0.000000,Fluido Libre
29,2,0.797197,0.000000,Fluido Libre
29,3,0.956520,0.000000,Fluido Libre
29,4,0.956552,0.000000,Fluido Libre
29,5,0.797283,0.000000,Fluido Libre
29,6,0.478520,0.000000,Fluido Libre
29,7,0.000000,0.000000,Pared
30,0,0.000000,0.000000,Pared
30,1,0.478173,0.000000,Fluido Libre
30,2,0.797020,0.000000,Fluido Libre
30,3,0.956521,0.000000,Fluido Libre
30,4,0.956636,0.000000,Fluido Libre
30,5,0.797331,0.000000,Fluido Libre
30,6,0.478503,0.000000,Fluido Libre
30,7,0.000000,0.000000,Pared
31,0,0.000000,0.000000,Pared
31,1,0.476873,0.000000,Fluido Libre
31,2,0.795522,0.000000,Fluido Libre
31,3,0.955343,0.000000,Fluido Libre
31,4,0.955763,0.000000,Fluido Libre
31,5,0.796647,0.000000,Fluido Libre
31,6,0.478051,0.000000,Fluido Libre
31,7,0.000000,0.000000,Pared
32,0,0.000000,0.000000,Pared
32,1,0.472427,0.000000,Fluido Libre
32,2,0.790100,0.000000,Fluido Libre
32,3,0.950866,0.000000,Fluido Libre
32,4,0.952405,0.000000,Fluido Libre
